split,row_type,confidence_method,observation_mode,occlusion_level,view_set,candidate_count,distractor_type,num_samples,top_1_accuracy,top_3_accuracy,confidence_mean,coverage,selective_accuracy,abstained
test,condition,multi_view_consistency,render_mask_assisted,moderate,three_view_augmented,8,different,2,0.5,0.5,0.6666666666666666,1.0,0.5,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,three_view_augmented,8,similar_fallback,2,0.5,0.5,0.6666666666666666,1.0,0.5,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,two_view,3,native,2,0.5,1.0,0.5,1.0,0.5,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,two_view,5,different,2,0.0,1.0,0.75,1.0,0.0,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,two_view,5,similar,2,0.0,1.0,0.75,1.0,0.0,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,two_view,8,different,2,0.5,0.5,0.75,1.0,0.5,0
test,condition,multi_view_consistency,render_mask_assisted,moderate,two_view,8,similar_fallback,2,0.5,0.5,0.75,1.0,0.5,0
test,condition,multi_view_consistency,render_mask_assisted,none,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,single_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,single_view,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,single_view,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,single_view,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,three_view_augmented,3,native,2,1.0,1.0,0.8333333333333333,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,three_view_augmented,5,different,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,three_view_augmented,5,similar,2,1.0,1.0,0.8333333333333333,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,three_view_augmented,8,different,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.6666666666666666,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,two_view,3,native,2,1.0,1.0,0.75,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,two_view,5,different,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,two_view,5,similar,2,1.0,1.0,0.75,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,two_view,8,different,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,multi_view_consistency,render_mask_assisted,none,two_view,8,similar_fallback,2,1.0,1.0,0.5,1.0,1.0,0
test,condition,stability,oracle_crop,heavy,single_view,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,heavy,single_view,5,different,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,heavy,single_view,5,similar,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,heavy,single_view,8,different,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,stability,oracle_crop,heavy,single_view,8,similar_fallback,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,stability,oracle_crop,heavy,three_view_augmented,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,heavy,three_view_augmented,5,different,2,0.5,0.5,0.75,0.0,,2
test,condition,stability,oracle_crop,heavy,three_view_augmented,5,similar,2,0.5,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,heavy,three_view_augmented,8,different,2,0.0,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,heavy,three_view_augmented,8,similar_fallback,2,0.0,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,heavy,two_view,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,heavy,two_view,5,different,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,stability,oracle_crop,heavy,two_view,5,similar,2,0.0,0.0,0.75,0.5,0.0,1
test,condition,stability,oracle_crop,heavy,two_view,8,different,2,0.0,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,heavy,two_view,8,similar_fallback,2,0.0,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,light,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,light,single_view,5,different,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,light,single_view,5,similar,2,0.5,1.0,0.625,0.5,1.0,1
test,condition,stability,oracle_crop,light,single_view,8,different,2,0.5,1.0,0.75,0.5,1.0,1
test,condition,stability,oracle_crop,light,single_view,8,similar_fallback,2,0.5,1.0,0.75,0.5,1.0,1
test,condition,stability,oracle_crop,light,three_view_augmented,3,native,2,1.0,1.0,0.75,0.0,,2
test,condition,stability,oracle_crop,light,three_view_augmented,5,different,2,1.0,1.0,0.625,0.5,1.0,1
test,condition,stability,oracle_crop,light,three_view_augmented,5,similar,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,light,three_view_augmented,8,different,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,light,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,light,two_view,3,native,2,0.5,1.0,0.75,0.5,1.0,1
test,condition,stability,oracle_crop,light,two_view,5,different,2,0.5,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,light,two_view,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,light,two_view,8,different,2,1.0,1.0,0.625,0.0,,2
test,condition,stability,oracle_crop,light,two_view,8,similar_fallback,2,1.0,1.0,0.625,0.0,,2
test,condition,stability,oracle_crop,moderate,single_view,3,native,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,moderate,single_view,5,different,2,0.0,1.0,0.625,0.0,,2
test,condition,stability,oracle_crop,moderate,single_view,5,similar,2,0.5,1.0,0.625,0.0,,2
test,condition,stability,oracle_crop,moderate,single_view,8,different,2,0.0,0.0,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,moderate,single_view,8,similar_fallback,2,0.0,0.0,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,moderate,three_view_augmented,3,native,2,1.0,1.0,0.625,0.0,,2
test,condition,stability,oracle_crop,moderate,three_view_augmented,5,different,2,0.5,1.0,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,moderate,three_view_augmented,5,similar,2,0.5,0.5,0.875,0.5,1.0,1
test,condition,stability,oracle_crop,moderate,three_view_augmented,8,different,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,stability,oracle_crop,moderate,three_view_augmented,8,similar_fallback,2,0.0,0.0,1.0,1.0,0.0,0
test,condition,stability,oracle_crop,moderate,two_view,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,oracle_crop,moderate,two_view,5,different,2,0.0,0.5,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,moderate,two_view,5,similar,2,0.0,1.0,0.875,0.5,0.0,1
test,condition,stability,oracle_crop,moderate,two_view,8,different,2,0.0,0.5,0.75,0.0,,2
test,condition,stability,oracle_crop,moderate,two_view,8,similar_fallback,2,0.0,0.5,0.75,0.0,,2
test,condition,stability,oracle_crop,none,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,single_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,single_view,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,single_view,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,single_view,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,three_view_augmented,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,three_view_augmented,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,three_view_augmented,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,three_view_augmented,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,three_view_augmented,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,two_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,two_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,two_view,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,two_view,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,oracle_crop,none,two_view,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,heavy,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,heavy,single_view,5,different,2,0.5,0.5,0.75,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,single_view,5,similar,2,0.5,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,single_view,8,different,2,0.5,0.5,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,single_view,8,similar_fallback,2,0.5,0.5,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,three_view_augmented,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,heavy,three_view_augmented,5,different,2,0.0,0.5,1.0,1.0,0.0,0
test,condition,stability,render_mask_assisted,heavy,three_view_augmented,5,similar,2,0.0,0.5,1.0,1.0,0.0,0
test,condition,stability,render_mask_assisted,heavy,three_view_augmented,8,different,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,heavy,two_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,heavy,two_view,5,different,2,0.5,1.0,0.875,0.5,0.0,1
test,condition,stability,render_mask_assisted,heavy,two_view,5,similar,2,0.5,0.5,0.75,0.5,0.0,1
test,condition,stability,render_mask_assisted,heavy,two_view,8,different,2,0.0,0.0,0.875,0.5,0.0,1
test,condition,stability,render_mask_assisted,heavy,two_view,8,similar_fallback,2,0.0,0.0,0.875,0.5,0.0,1
test,condition,stability,render_mask_assisted,light,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,single_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,single_view,5,similar,2,0.5,1.0,0.625,0.5,1.0,1
test,condition,stability,render_mask_assisted,light,single_view,8,different,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,light,single_view,8,similar_fallback,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,light,three_view_augmented,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,three_view_augmented,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,three_view_augmented,5,similar,2,0.5,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,light,three_view_augmented,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,three_view_augmented,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,two_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,two_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,light,two_view,5,similar,2,1.0,1.0,0.75,0.5,1.0,1
test,condition,stability,render_mask_assisted,light,two_view,8,different,2,1.0,1.0,0.625,0.0,,2
test,condition,stability,render_mask_assisted,light,two_view,8,similar_fallback,2,1.0,1.0,0.625,0.0,,2
test,condition,stability,render_mask_assisted,moderate,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,moderate,single_view,5,different,2,0.5,0.5,0.5,0.5,0.0,1
test,condition,stability,render_mask_assisted,moderate,single_view,5,similar,2,0.5,1.0,0.75,0.5,0.0,1
test,condition,stability,render_mask_assisted,moderate,single_view,8,different,2,0.5,0.5,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,moderate,single_view,8,similar_fallback,2,0.5,0.5,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,moderate,three_view_augmented,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,moderate,three_view_augmented,5,different,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,moderate,three_view_augmented,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,moderate,three_view_augmented,8,different,2,0.5,0.5,1.0,1.0,0.5,0
test,condition,stability,render_mask_assisted,moderate,three_view_augmented,8,similar_fallback,2,0.5,0.5,1.0,1.0,0.5,0
test,condition,stability,render_mask_assisted,moderate,two_view,3,native,2,0.5,1.0,1.0,1.0,0.5,0
test,condition,stability,render_mask_assisted,moderate,two_view,5,different,2,0.0,1.0,0.5,0.0,,2
test,condition,stability,render_mask_assisted,moderate,two_view,5,similar,2,0.0,1.0,0.75,0.5,0.0,1
test,condition,stability,render_mask_assisted,moderate,two_view,8,different,2,0.5,0.5,0.75,0.5,1.0,1
test,condition,stability,render_mask_assisted,moderate,two_view,8,similar_fallback,2,0.5,0.5,0.75,0.5,1.0,1
test,condition,stability,render_mask_assisted,none,single_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,single_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,single_view,5,similar,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,none,single_view,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,single_view,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,three_view_augmented,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,three_view_augmented,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,three_view_augmented,5,similar,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,three_view_augmented,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,three_view_augmented,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,two_view,3,native,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,two_view,5,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,two_view,5,similar,2,1.0,1.0,0.875,0.5,1.0,1
test,condition,stability,render_mask_assisted,none,two_view,8,different,2,1.0,1.0,1.0,1.0,1.0,0
test,condition,stability,render_mask_assisted,none,two_view,8,similar_fallback,2,1.0,1.0,1.0,1.0,1.0,0
test,fixed_coverage,margin,all,all,all,all,all,240,,,,0.8,0.734375,48
test,fixed_coverage,multi_view_consistency,all,all,all,all,all,240,,,,0.8,0.6822916666666666,48
test,fixed_coverage,random_rejection,all,all,all,all,all,240,,,,0.8,0.6716666666666665,48
test,fixed_coverage,stability,all,all,all,all,all,240,,,,0.8,0.7291666666666666,48
